symbol,data_days,start_date,end_date,avg_volume_usd,dev_mean_pct,dev_std_pct,corr_raw_next,corr_diff_next,corr_zscore_next,total_return,sharpe,win_rate,max_drawdown,extreme_down_count,extreme_down_reversal_pct,extreme_up_count,extreme_up_reversal_pct,return_2025,return_2026,return_2024,return_2023,return_2021,return_2022
KMNO,305,2025-05-06,2026-03-06,2914196.9862243608,-0.11081488857635736,0.0929993335552591,0.02893067270720503,0.027917939788306995,-0.09627450561049468,2.8830027840501655,3.438902260800396,56.70103092783505,-0.2988461002330529,9,77.77777777777779,1,0.0,2.005945468586928,0.8770573154632374,,,,
MORPHO,155,2025-10-03,2026-03-06,13980869.782087613,-0.11018467685783816,0.0737151008528608,-0.18353736030880807,-0.20919522139648136,-0.16845757593854221,1.2183215954449549,3.287524153088901,58.86524822695035,-0.3074835668090574,4,50.0,3,33.33333333333333,0.9212896466129189,0.2970319488320349,,,,
SYRUP,304,2025-05-07,2026-03-06,13965096.352699606,-0.06684393784630512,0.05652274416625232,-0.04605812723852644,-0.002002651187846413,-0.12484299702522879,2.501398070252738,3.001004724780753,55.86206896551724,-0.4193902022303547,7,42.857142857142854,5,60.0,1.9784580385777226,0.5229400316750162,,,,
NIL,348,2025-03-24,2026-03-06,5178618.439347644,-0.0856979372849143,0.12402869783495,-0.08576459105901586,-0.07121932487055954,-0.12088784186429007,3.482017388559045,2.92018641554258,55.38922155688623,-0.6135566785155766,7,28.57142857142857,6,83.33333333333334,2.9805302874253843,0.5014871011336623,,,,
TRUMP,412,2025-01-19,2026-03-06,154384809.7419221,-0.049995286555176925,0.06777228608953527,-0.14582253035038897,-0.09173302418852175,-0.11185123405038434,3.519218840190189,2.9087958290809266,56.28140703517588,-0.42461317206880445,13,69.23076923076923,2,0.0,3.1374433035619593,0.3817755366282308,,,,
BARD,170,2025-09-18,2026-03-06,14863781.905231941,-0.08706345353743408,0.3713413449907951,-0.2837426477415089,-0.31650785246291335,-0.15255133364665274,1.5166333533403824,2.9063851718802827,55.12820512820513,-0.22037633120050937,8,75.0,5,60.0,0.5617180790538624,0.9549152742865205,,,,
VELODROME,449,2024-12-13,2026-03-06,3774085.4928613314,-0.0554882754198047,0.1621709477235817,-0.10556845078768724,-0.040709334952627636,-0.07993686726106619,3.5334285494239825,2.67034098429294,54.71264367816092,-0.5955660073003494,9,44.44444444444444,4,100.0,3.1953143294441015,0.3549214724208205,-0.016807252440937837,,,
PUMP,177,2025-09-11,2026-03-06,54318787.21354147,-0.05460380034507943,0.049835458810482125,-0.05348076145273889,0.01401393638798851,-0.09370939882485634,1.5216229292888914,2.407422364394278,52.760736196319016,-0.40763963207045284,2,100.0,5,40.0,1.2274371988154988,0.29418573047339236,,,,
ERA,233,2025-07-17,2026-03-06,24308822.671685923,-0.19265564897040952,0.15021197650197596,0.10904255181884956,0.019381402020816976,-0.03626449583307755,1.1924426540918647,2.0424960647067487,54.337899543378995,-0.4499468998792353,8,12.5,3,33.33333333333333,0.5932230149351758,0.5992196391566894,,,,
NEWT,256,2025-06-24,2026-03-06,7509424.967490898,-0.16525579324543277,0.1755846302180825,0.0939331071122015,-0.019055841766654747,-0.09397773315491575,1.4180819218573357,1.9997710635027957,55.371900826446286,-0.5653902165650029,10,70.0,2,100.0,0.8023199215715093,0.6157620002858257,,,,
SYN,568,2024-08-16,2026-03-06,3010466.025257412,-0.07910721856868241,0.1430607286674901,-0.02301422764044495,-0.07321746918688661,-0.08177901182047626,4.128113768772165,1.894274945706784,55.054151624548744,-0.9777211144813487,19,57.89473684210527,7,57.14285714285714,2.4695854302827964,0.25588412730861054,1.4026442111807527,,,
FF,159,2025-09-29,2026-03-06,46301978.16837539,-0.1159014485342701,0.07776934914028096,-0.09971685852490356,-0.07519709187307906,-0.10312313723426247,0.8247701486878501,1.7401437907298987,54.48275862068965,-0.3405866487775753,3,66.66666666666666,4,100.0,1.0437586995898092,-0.21898855090195934,,,,
KITE,124,2025-11-03,2026-03-06,20401950.12474048,0.07356344705137063,0.320295202036878,0.09655414732737395,0.179266626003165,-0.16214872151771687,0.7215953313221479,1.733219419659027,52.72727272727272,-0.5842788067266601,3,66.66666666666666,2,50.0,-0.43808340656411515,1.1596787378862632,,,,
TREE,221,2025-07-29,2026-03-06,8894557.147637377,-0.15415615387661075,0.14089476426612924,-0.02814926475167241,0.07759111885983377,-0.020517142387116247,1.1198564200294148,1.727107693496033,53.62318840579711,-0.7467401724073652,8,37.5,6,50.0,0.7224595114612486,0.3973969085681658,,,,
MUBARAK,345,2025-03-27,2026-03-06,9582824.407563522,-0.08541595723510866,0.11269084871782929,-0.03038258436323355,-0.002582481956246467,-0.03606516283287561,2.574885795818295,1.6692382865709303,50.15105740181269,-0.7952729951613584,9,33.33333333333333,8,50.0,2.601026894980395,-0.026141099162103942,,,,
