symbol,data_days,avg_volume_usd,sharpe_gross,sharpe_net,return_gross,return_net,win_gross,win_net,dd_gross,dd_net,n_trades,turnover_pct,total_cost
KMNO,291,2914196.9862243608,3.438902260800396,3.30857469888691,2.8830027840501655,2.772202784050169,56.70103092783505,56.70103092783505,-0.2988461002330529,-0.3044461002330529,139,47.766323024054984,0.11080000000000001
MORPHO,141,13980869.782087613,3.287524153088901,3.1571805720102124,1.2183215954449549,1.1699215954449553,58.86524822695035,57.446808510638306,-0.3074835668090574,-0.31228356680905756,61,43.262411347517734,0.0484
SYRUP,290,13965096.352699606,3.001004724780753,2.857663978977476,2.501398070252738,2.3817980702527426,55.86206896551724,55.51724137931034,-0.4193902022303547,-0.43139020223035474,150,51.724137931034484,0.11960000000000001
BARD,156,14863781.905231941,2.9063851718802827,2.8558299348315366,1.5166333533403824,1.488233353340382,55.12820512820513,55.12820512820513,-0.22037633120050937,-0.2219763312005094,36,23.076923076923077,0.0284
NIL,334,5178618.439347644,2.92018641554258,2.81363555419116,3.482017388559045,3.355217388559048,55.38922155688623,55.08982035928144,-0.6135566785155766,-0.629556678515576,159,47.604790419161674,0.12680000000000002
TRUMP,398,154384809.7419221,2.9087958290809266,2.7750826850845733,3.519218840190189,3.3572188401901935,56.28140703517588,56.28140703517588,-0.42461317206880445,-0.43741317206880304,203,51.005025125628144,0.16200000000000003
VELODROME,435,3774085.4928613314,2.67034098429294,2.5546434094223462,3.5334285494239825,3.380228549423987,54.71264367816092,54.48275862068965,-0.5955660073003494,-0.6075660073003497,192,44.13793103448276,0.1532
PUMP,163,54318787.21354147,2.407422364394278,2.3249724368593587,1.5216229292888914,1.4700229292888922,52.760736196319016,52.14723926380368,-0.40763963207045284,-0.41643963207045287,65,39.87730061349693,0.0516
ERA,219,24308822.671685923,2.0424960647067487,1.935267220084585,1.1924426540918647,1.1296426540918654,54.337899543378995,54.337899543378995,-0.4499468998792353,-0.4563468998792355,79,36.07305936073059,0.06280000000000001
NEWT,242,7509424.967490898,1.9997710635027957,1.883692696934745,1.4180819218573357,1.3344819218573354,55.371900826446286,55.371900826446286,-0.5653902165650029,-0.5773902165650029,105,43.388429752066116,0.08360000000000002
SYN,554,3010466.025257412,1.894274945706784,1.8093691411106607,4.128113768772165,3.944513768772163,55.054151624548744,54.51263537906137,-0.9777211144813487,-0.985721114481348,230,41.51624548736462,0.1836
KITE,110,20401950.12474048,1.733219419659027,1.6607080180684188,0.7215953313221479,0.6907953313221477,52.72727272727272,52.72727272727272,-0.5842788067266601,-0.5922788067266602,39,35.45454545454545,0.030799999999999998
FF,145,46301978.16837539,1.7401437907298987,1.6408924073832558,0.8247701486878501,0.7779701486878492,54.48275862068965,53.79310344827586,-0.3405866487775753,-0.3405866487775753,59,40.689655172413794,0.0468
TREE,207,8894557.147637377,1.727107693496033,1.6295481738737156,1.1198564200294148,1.057056420029413,53.62318840579711,53.62318840579711,-0.7467401724073652,-0.7579401724073654,79,38.164251207729464,0.06280000000000001
MUBARAK,331,9582824.407563522,1.6692382865709303,1.5921527156067392,2.574885795818295,2.4560857958182964,50.15105740181269,49.848942598187314,-0.7952729951613584,-0.8284794699494911,149,45.01510574018127,0.1188
BB,649,12083453.697320228,1.6476743509493237,1.554655783236724,3.9334260977093813,3.712226097709386,54.08320493066255,53.929121725731896,-0.6252315020303413,-0.6300315020303413,277,42.68104776579353,0.2212
AVNT,159,50326394.42323203,1.6011806465683578,1.5298695702931424,1.0261844860684357,0.9809844860684354,46.540880503144656,46.540880503144656,-0.5888571694890048,-0.5904571694890048,57,35.84905660377358,0.045200000000000004
AT,86,15938308.341180597,1.5662582918621486,1.4887173921455654,0.5417979406572395,0.5149979406572388,52.32558139534884,52.32558139534884,-0.4358520726235693,-0.4462520726235696,34,39.53488372093023,0.026799999999999997
CETUS,472,6779691.935134649,1.5762605320340706,1.4755974303704165,2.635187297609927,2.4667872976099305,54.02542372881356,53.60169491525424,-1.187825198141097,-1.2110251981410973,211,44.70338983050847,0.16840000000000002
HYPER,305,7461028.960639091,1.457720953487759,1.4277085262811975,5.331619281230067,5.222419281230067,53.77049180327869,53.442622950819676,-0.6128400534266953,-0.6368400534266949,137,44.91803278688525,0.1092
JST,299,2714992.5370139075,1.6162146138276543,1.3910211481098558,0.6735962045446999,0.5787962045446992,50.50167224080268,49.163879598662206,-0.4355176823332627,-0.4523176823332631,119,39.79933110367893,0.0948
RIF,854,2465691.3766495,1.4253583177218718,1.2888805589951688,3.35049532424986,3.0300953242498676,52.57611241217799,52.341920374707264,-0.8229295861774715,-0.8813295861774735,401,46.95550351288056,0.3204
PHA,418,5257581.179400001,1.38686808553153,1.2789689121051415,1.8776741922478206,1.7316741922478225,51.91387559808612,51.91387559808612,-0.7954785806301954,-0.8330785806301935,183,43.7799043062201,0.14600000000000002
EPIC,345,3261351.915750697,1.3412304496275862,1.266929133844684,2.044839938843448,1.9316399388434504,50.43478260869565,50.43478260869565,-0.6589418186165499,-0.6645418186165495,142,41.15942028985507,0.1132
PLUME,187,10605556.780063882,1.3285140346108597,1.2254025120509957,0.835912720004196,0.7707127200041953,50.26737967914438,50.26737967914438,-0.7593736918260096,-0.7761736918260098,82,43.85026737967914,0.06520000000000001
GPS,354,3738810.153518674,1.3114352891967411,1.2249567995474333,1.879301677158037,1.7557016771580418,51.9774011299435,51.9774011299435,-0.9348991932770259,-0.9436991932770258,155,43.78531073446328,0.12360000000000002
HOME,254,2919399.2711169035,1.3661668209014224,1.223946070713046,0.8063860691774154,0.7227860691774145,50.0,49.21259842519685,-0.3769061620132601,-0.37997098120893436,105,41.338582677165356,0.08360000000000001
W,689,13818428.612691678,1.3216564711010268,1.2096777282909783,2.840251809348027,2.599851809348028,52.5399129172714,52.39477503628447,-0.9089852703738782,-0.9293074285533293,301,43.68650217706821,0.2404
SSV,1093,8543233.782005157,1.3016196693503217,1.1885656840877,4.52554282709741,4.132342827097428,52.05855443732845,51.967063129002746,-2.5295068619559853,-2.6455068619559774,492,45.01372369624886,0.3932
UMA,1018,4456973.584531105,1.2615301120775508,1.1432429600164669,4.094079262106001,3.710479262106016,52.652259332023576,52.357563850687626,-0.7961829386471218,-0.8321829386471173,480,47.151277013752456,0.38360000000000005
SUI,1025,127889000.88271959,1.2248506168222686,1.1134970292538522,3.6898064312500978,3.355006431250102,51.707317073170735,51.41463414634146,-0.9577947355246321,-1.0081091154528745,419,40.8780487804878,0.33480000000000004
1000CAT,431,5208374.59560576,1.1978475117529275,1.1019482797936166,1.9522002150518671,1.7950002150518716,51.27610208816705,51.27610208816705,-0.8896018541144097,-0.8920018541144096,197,45.707656612529,0.1572
MMT,109,31705151.45673366,1.1806654511723902,1.0834922741020518,0.42417962812873566,0.38937962812873483,45.87155963302752,45.87155963302752,-0.39432645472145034,-0.4007264547214505,44,40.36697247706422,0.03480000000000001
SLP,213,1305233.6199219692,1.217493542704103,1.0802023088057673,0.6952277857520067,0.6172277857520061,53.990610328638496,53.52112676056338,-0.6138364753052321,-0.6458364753052324,98,46.009389671361504,0.07800000000000001
FORTH,319,1241319.41190009,1.239650430438164,1.071756845093471,0.8473490673617295,0.7333490673617278,55.172413793103445,54.54545454545454,-0.5310526727353748,-0.536652672735375,143,44.827586206896555,0.11400000000000002
BTC,1878,2648500179.1256347,1.2647950120337588,1.0703626911259638,3.78667008016113,3.2046700801611396,52.12992545260916,51.43769968051119,-0.5874842766945451,-0.6002842766945454,728,38.76464323748669,0.5820000000000001
SXT,289,4120489.3664312544,1.1947336256142422,1.0698262286141804,0.9934738319533292,0.8898738319533287,51.903114186851205,51.903114186851205,-0.6857761550420324,-0.7025761550420321,130,44.982698961937714,0.1036
MBOX,542,3097344.976113507,1.1860550723347494,1.06200783923275,1.879665055657399,1.683265055657407,50.7380073800738,50.55350553505535,-1.186664774015645,-1.2138647740156439,246,45.38745387453875,0.19640000000000002
MANA,1804,43399387.72414515,1.1404706847416666,1.04400217145748,7.356175094087385,6.7333750940873855,51.44124168514412,51.21951219512195,-1.5621156342883573,-1.581315634288357,779,43.18181818181818,0.6228
HEI,373,2800440.8087242637,1.1456677184084532,1.0415190563254348,1.4042181385651675,1.2766181385651665,48.257372654155496,48.257372654155496,-1.3268624073973956,-1.3780624073973966,160,42.89544235924933,0.1276
NOM,143,3002920.27557828,1.0846327668552134,1.0183749290964021,0.676952795344227,0.6357527953442264,53.84615384615385,53.84615384615385,-0.7756880866861471,-0.7796880866861472,52,36.36363636363637,0.0412
PROVE,200,13858722.994373878,1.130294899122875,1.0178488866939959,0.7196311279582924,0.6480311279582911,51.0,51.0,-0.5647897001940905,-0.5999897001940915,90,45.0,0.07160000000000001
ZEN,1878,11012525.89278825,1.0991019937382183,0.9923323580931308,7.206976457296643,6.506576457296658,52.39616613418531,52.07667731629393,-1.8174091966108623,-1.8966091966108596,876,46.64536741214057,0.7004000000000001
ONDO,316,16051325.974963546,1.1335219026263772,0.9862330550416653,0.844285984697402,0.735085984697401,52.53164556962025,52.53164556962025,-0.42582525578277153,-0.42982525578277153,137,43.35443037974683,0.1092
